Mahonia microphylla,Mahonia napaulensis,Mahonia bealei,Mahonia longibracteata,Mahonia decipiens,Mahonia japonica,Mahonia shenii,Mahonia cardiophylla,Mahonia bodinieri,Mahonia oiwakensis,Mahonia nitens,Mahonia bracteolata,Mahonia breviracema,Mahonia imbricata,Mahonia subimbricata,Mahonia sheridaniana,Mahonia philippinensis,Mahonia monyulensis,Mahonia polyodonta,Mahonia calamicaulis subsp. kingdon-wardiana,Mahonia gracilipes,Mahonia leptodonta,Mahonia duclouxiana,Mahonia taronensis,Mahonia paucijuga,Mahonia fordii,Mahonia hancockiana,Mahonia fortunei,Mahonia eurybracteata subsp. ganpinensis,Mahonia setosa,Mahonia nervosa,Mahonia retinervis,Mahonia conferta,Mahonia chochoco,Mahonia dictyota,Mahonia alpina,Mahonia volcania,Mahonia repens,Mahonia pumila,Mahonia gracilis,Mahonia lanceolata,Mahonia pallida,Mahonia hartwegii,Mahonia aquifolium,Mahonia pinnata,Mahonia moranensis
0,4,3,4,4,4,0,3,4,4,3,3,2,4,3,3,4,3,10,7,2,38,6,11,8,7,6,6,6,16,8,7,7,0,4,3,5,6,6,7,22,11,9,13,8,8
0,4,4,4,4,4,1,4,4,4,3,3,3,4,3,3,4,2,10,7,2,39,9,13,10,8,7,6,8,13,7,7,7,0,5,3,7,8,7,4,19,8,9,10,8,8
0,5,4,5,5,5,1,4,5,5,5,5,3,5,6,4,5,4,13,8,5,56,9,17,12,8,7,7,8,18,11,10,7,0,8,4,6,7,7,8,27,12,12,15,10,10
0,4,3,5,4,4,0,3,3,3,3,3,2,4,3,2,4,3,10,6,2,35,8,12,10,7,6,6,7,12,7,7,7,0,4,3,6,8,6,4,18,7,8,9,7,7
0,5,4,5,5,5,1,4,5,5,4,4,3,5,5,4,5,2,12,8,4,52,11,15,11,8,7,7,8,16,8,8,8,0,5,4,7,9,7,6,22,9,9,11,9,8
0,6,6,5,6,5,0,5,5,5,5,3,3,3,3,5,5,2,10,5,5,46,7,11,9,7,6,5,7,12,6,6,7,0,4,3,6,8,6,3,18,7,8,9,7,7
0,4,3,5,5,5,1,4,4,6,6,6,4,5,7,2,3,3,14,9,6,63,11,19,14,9,8,8,9,19,12,11,7,0,9,5,6,7,7,8,30,13,13,16,11,11
0,4,4,6,6,6,1,6,6,6,5,5,4,4,4,3,6,2,11,6,6,52,9,13,10,8,7,6,8,14,7,7,7,0,5,3,7,8,7,5,20,8,9,10,8,8
0,4,3,5,4,4,0,3,6,4,3,3,2,4,3,3,4,3,10,6,2,36,8,12,10,7,6,6,7,12,7,7,7,0,4,3,6,8,6,4,18,8,8,10,8,7
0,6,6,5,6,5,0,5,5,5,5,3,3,3,3,2,5,3,10,5,5,46,7,11,9,7,6,5,7,12,6,6,7,0,4,3,6,8,6,3,18,7,8,9,7,7
0,4,4,6,6,6,1,6,7,7,4,4,3,4,4,3,6,4,12,7,6,53,9,13,11,8,7,7,8,14,8,8,7,0,5,3,7,8,7,5,20,8,9,10,8,8
0,4,4,4,4,4,1,4,4,4,3,3,3,4,4,3,4,3,11,7,3,43,9,13,10,8,7,6,8,14,7,7,7,0,5,3,7,8,7,5,20,8,9,10,8,8
0,4,4,4,4,4,1,4,4,4,3,3,3,4,4,3,4,3,11,7,3,41,7,12,8,7,6,6,6,16,9,7,7,0,5,3,5,6,6,7,23,12,10,13,8,8
0,4,3,4,4,4,1,4,4,4,4,5,3,3,2,2,3,2,14,9,6,65,12,23,16,6,6,11,6,20,7,7,6,0,5,4,9,9,6,7,27,12,12,15,12,9
0,5,4,5,5,5,1,4,5,5,5,5,3,5,5,4,5,4,12,8,4,54,9,16,12,8,7,7,8,18,10,10,7,0,8,4,6,7,7,8,27,12,11,15,10,10
0,4,4,4,4,4,1,4,4,4,3,3,3,4,4,3,4,4,11,7,3,42,7,12,9,7,6,6,6,16,9,7,7,0,5,3,5,6,6,7,24,12,10,13,8,8
0,4,4,6,4,4,1,4,4,4,3,3,3,4,3,3,4,2,10,7,2,40,9,13,10,8,7,6,8,13,7,7,7,0,5,3,7,8,7,4,19,8,9,10,8,8
0,3,2,4,4,2,0,2,2,2,2,3,2,2,1,1,2,2,10,6,5,38,6,11,8,7,6,6,6,16,8,9,6,0,7,3,5,6,6,7,22,11,9,13,8,8
0,5,4,5,5,5,1,4,5,5,5,5,3,5,5,2,3,2,12,8,6,53,9,16,11,8,7,7,8,18,10,10,7,0,8,4,6,7,7,8,26,12,11,15,10,10
0,4,3,4,3,3,1,3,3,3,3,4,3,3,2,2,3,2,12,8,6,54,9,18,13,5,5,9,5,16,7,6,5,0,4,3,8,8,5,5,23,10,10,13,10,8
0,5,4,6,7,6,1,7,7,7,6,7,4,5,5,4,6,4,13,7,6,55,10,14,11,8,7,7,8,15,8,8,8,0,5,4,7,9,7,6,21,9,9,11,9,8
0,5,5,7,5,5,2,5,6,6,6,6,4,5,7,5,5,2,14,9,6,62,12,16,13,9,8,9,9,18,10,10,8,0,6,4,8,9,8,8,24,10,10,12,10,9
0,5,4,6,5,5,1,4,5,5,5,5,3,5,5,4,5,4,12,8,4,53,11,15,12,8,7,8,8,16,9,9,8,0,5,4,7,9,7,6,22,9,9,11,9,8
0,6,6,5,6,5,0,5,5,5,5,3,3,3,3,5,5,2,10,5,5,46,8,12,9,7,6,5,7,12,6,6,7,0,4,3,6,8,6,3,18,7,8,9,7,7
0,4,3,5,4,4,0,5,5,3,2,2,2,4,2,2,5,2,9,5,5,45,7,11,9,7,6,5,7,11,6,6,7,0,4,3,6,8,6,3,17,7,8,9,7,7
0,5,4,5,5,5,1,4,5,5,4,4,3,5,5,4,5,2,12,8,4,49,8,14,10,8,7,7,7,17,10,8,8,0,5,4,6,7,7,8,25,12,11,14,9,9
0,3,2,4,4,4,0,4,4,4,3,3,3,4,4,1,2,3,11,7,5,41,7,12,8,7,6,6,6,16,9,9,6,0,7,4,5,6,6,7,23,12,10,13,8,8
0,3,2,4,3,3,0,3,3,3,2,3,2,2,1,1,2,2,10,6,5,40,5,13,9,3,4,7,4,11,6,4,4,0,4,3,7,7,3,3,18,8,8,11,8,8
0,3,2,4,4,2,0,2,2,2,1,2,2,2,1,1,2,2,10,5,5,34,6,9,7,6,5,5,5,15,8,8,6,0,6,3,5,6,6,7,21,11,9,12,7,7
0,4,4,6,4,4,1,6,7,4,4,4,3,4,4,3,6,3,11,7,3,47,10,14,11,8,7,7,8,15,8,8,7,0,5,3,7,8,7,5,21,8,9,10,8,8
